combinacion,backend,ejecucion,n,tam_bloque,hilos,corridas,t_mediana,t_min,t_max,t_arranque,speedup,speedup_con_arranque,eficiencia,karp_flatt,suma,ok
numpy-hilos,numpy,secuencial,67108864,524288,0,7,0.056211,0.054467,0.066412,0.0,1.0,1.0,1.0,nan,67108864.0,True
numpy-hilos,numpy,hilos,67108864,524288,1,7,0.057816,0.056031,0.067256,0.0,0.9722,0.9722,0.9722,nan,67108864.0,True
numpy-hilos,numpy,hilos,67108864,524288,2,7,0.032292,0.028899,0.044612,0.0,1.7407,1.7407,0.8704,0.149,67108864.0,True
numpy-hilos,numpy,hilos,67108864,524288,4,7,0.017972,0.016904,0.024255,0.0,3.1277,3.1277,0.7819,0.093,67108864.0,True
numpy-hilos,numpy,hilos,67108864,524288,8,7,0.015287,0.014848,0.017067,0.0,3.677,3.677,0.4596,0.168,67108864.0,True
numpy-hilos,numpy,hilos,67108864,524288,16,7,0.01592,0.015231,0.016814,0.0,3.5308,3.5308,0.2207,0.2354,67108864.0,True
numpy-procesos,numpy,secuencial,67108864,524288,0,7,0.056831,0.053952,0.078169,0.0,1.0,1.0,1.0,nan,67108864.0,True
numpy-procesos,numpy,procesos,67108864,524288,1,7,0.06111,0.056962,0.169121,0.281503,0.93,0.1659,0.93,nan,67108864.0,True
numpy-procesos,numpy,procesos,67108864,524288,2,7,0.035271,0.028914,0.085896,0.237896,1.6113,0.208,0.8056,0.2413,67108864.0,True
numpy-procesos,numpy,procesos,67108864,524288,4,7,0.033794,0.021062,0.054322,0.279971,1.6817,0.1811,0.4204,0.4595,67108864.0,True
numpy-procesos,numpy,procesos,67108864,524288,8,7,0.026091,0.022053,0.034922,0.421454,2.1781,0.127,0.2723,0.3818,67108864.0,True
numpy-procesos,numpy,procesos,67108864,524288,16,7,0.028316,0.02232,0.036552,0.826551,2.007,0.0665,0.1254,0.4648,67108864.0,True
puro-hilos,puro,secuencial,4000000,31250,0,7,0.48228,0.434404,0.506405,0.0,1.0,1.0,1.0,nan,4000000.0,True
puro-hilos,puro,hilos,4000000,31250,1,7,0.477915,0.437965,0.523551,0.0,1.0091,1.0091,1.0091,nan,4000000.0,True
puro-hilos,puro,hilos,4000000,31250,2,7,0.455937,0.439004,0.548981,0.0,1.0578,1.0578,0.5289,0.8908,4000000.0,True
puro-hilos,puro,hilos,4000000,31250,4,7,0.476657,0.425628,0.486224,0.0,1.0118,1.0118,0.2529,0.9845,4000000.0,True
puro-hilos,puro,hilos,4000000,31250,8,7,0.467308,0.44971,0.521067,0.0,1.032,1.032,0.129,0.9645,4000000.0,True
puro-hilos,puro,hilos,4000000,31250,16,7,0.46359,0.435593,0.501248,0.0,1.0403,1.0403,0.065,0.9587,4000000.0,True
puro-procesos,puro,secuencial,4000000,31250,0,7,0.464894,0.447408,0.484452,0.0,1.0,1.0,1.0,nan,4000000.0,True
puro-procesos,puro,procesos,4000000,31250,1,7,0.44396,0.424186,0.5066,0.231029,1.0472,0.6887,1.0472,nan,4000000.0,True
puro-procesos,puro,procesos,4000000,31250,2,7,0.232416,0.219487,0.248187,0.229073,2.0003,1.0074,1.0001,-0.0001,4000000.0,True
puro-procesos,puro,procesos,4000000,31250,4,7,0.143911,0.134655,0.1574,0.259579,3.2304,1.1522,0.8076,0.0794,4000000.0,True
puro-procesos,puro,procesos,4000000,31250,8,7,0.102551,0.100546,0.1103,0.386528,4.5333,0.9506,0.5667,0.1092,4000000.0,True
puro-procesos,puro,procesos,4000000,31250,16,7,0.101894,0.099058,0.107017,0.890283,4.5625,0.4686,0.2852,0.1671,4000000.0,True
